Category: All categories

Month,What the Health: (United States),Okja: (United States)
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2005-01,0,0
2005-02,0,0
2005-03,0,0
2005-04,0,0
2005-05,0,0
2005-06,0,0
2005-07,0,0
2005-08,0,0
2005-09,0,0
2005-10,0,0
2005-11,0,0
2005-12,0,0
2006-01,0,0
2006-02,0,0
2006-03,0,0
2006-04,0,0
2006-05,0,0
2006-06,0,0
2006-07,0,0
2006-08,0,0
2006-09,0,0
2006-10,0,0
2006-11,0,0
2006-12,0,0
2007-01,0,0
2007-02,0,0
2007-03,0,0
2007-04,0,0
2007-05,0,0
2007-06,0,0
2007-07,0,0
2007-08,0,0
2007-09,0,0
2007-10,0,0
2007-11,0,0
2007-12,0,0
2008-01,0,0
2008-02,0,0
2008-03,0,0
2008-04,0,0
2008-05,0,0
2008-06,0,0
2008-07,0,0
2008-08,0,0
2008-09,0,0
2008-10,0,0
2008-11,0,0
2008-12,0,0
2009-01,0,0
2009-02,0,0
2009-03,0,0
2009-04,0,0
2009-05,0,0
2009-06,0,0
2009-07,0,0
2009-08,<1,0
2009-09,0,0
2009-10,0,0
2009-11,0,0
2009-12,0,0
2010-01,0,0
2010-02,0,0
2010-03,2,0
2010-04,0,0
2010-05,0,0
2010-06,0,0
2010-07,<1,0
2010-08,0,0
2010-09,0,0
2010-10,0,0
2010-11,0,0
2010-12,0,0
2011-01,0,0
2011-02,0,0
2011-03,0,0
2011-04,<1,0
2011-05,0,0
2011-06,0,0
2011-07,0,0
2011-08,0,0
2011-09,0,0
2011-10,0,0
2011-11,0,0
2011-12,0,0
2012-01,0,0
2012-02,<1,0
2012-03,0,0
2012-04,<1,0
2012-05,0,0
2012-06,<1,0
2012-07,<1,0
2012-08,0,0
2012-09,<1,0
2012-10,<1,0
2012-11,0,0
2012-12,<1,0
2013-01,0,0
2013-02,<1,0
2013-03,<1,0
2013-04,<1,0
2013-05,<1,0
2013-06,0,0
2013-07,0,0
2013-08,<1,0
2013-09,<1,0
2013-10,<1,0
2013-11,0,0
2013-12,0,0
2014-01,<1,0
2014-02,0,0
2014-03,0,0
2014-04,<1,0
2014-05,<1,0
2014-06,0,0
2014-07,0,0
2014-08,0,0
2014-09,<1,0
2014-10,<1,0
2014-11,<1,0
2014-12,<1,0
2015-01,<1,0
2015-02,<1,0
2015-03,<1,0
2015-04,<1,0
2015-05,<1,0
2015-06,<1,0
2015-07,0,0
2015-08,0,0
2015-09,<1,0
2015-10,<1,<1
2015-11,<1,<1
2015-12,<1,<1
2016-01,<1,<1
2016-02,<1,<1
2016-03,<1,<1
2016-04,<1,1
2016-05,0,<1
2016-06,<1,<1
2016-07,<1,1
2016-08,<1,<1
2016-09,<1,<1
2016-10,<1,1
2016-11,0,<1
2016-12,0,0
2017-01,0,0
2017-02,0,0
2017-03,<1,2
2017-04,2,2
2017-05,2,10
2017-06,18,39
2017-07,84,100
2017-08,61,18
2017-09,24,9
2017-10,16,8
2017-11,10,6
2017-12,10,9
2018-01,12,8
2018-02,9,6
2018-03,8,4
2018-04,7,4
2018-05,5,3
2018-06,5,3
2018-07,5,3
2018-08,4,3
2018-09,4,2
2018-10,4,2
2018-11,4,2
2018-12,4,2
2019-01,5,2
2019-02,4,2
2019-03,4,2
2019-04,4,1
2019-05,4,2
2019-06,3,2
2019-07,3,2
2019-08,3,1
2019-09,3,2
2019-10,3,2
2019-11,4,3
2019-12,3,3
2020-01,5,4
2020-02,4,9
2020-03,2,5
2020-04,2,7
2020-05,3,4
2020-06,2,4
2020-07,3,3
2020-08,3,2
2020-09,2,2
2020-10,2,2
2020-11,2,2
2020-12,2,2
2021-01,2,3
2021-02,2,2
2021-03,2,2
2021-04,3,2
2021-05,2,2
2021-06,2,2
2021-07,2,2
2021-08,2,2
2021-09,2,2
2021-10,2,2
2021-11,2,2
2021-12,2,1
2022-01,2,2
2022-02,2,2
2022-03,2,2
2022-04,2,3
2022-05,2,2
2022-06,1,2
2022-07,2,2
2022-08,1,1
2022-09,1,1
2022-10,1,1
2022-11,1,1
2022-12,1,2
2023-01,2,5
2023-02,2,11
2023-03,2,4
2023-04,2,3
2023-05,2,2
2023-06,2,2
2023-07,1,2
2023-08,1,2
2023-09,1,2
2023-10,2,1
2023-11,2,2
2023-12,1,2
2024-01,2,2
2024-02,2,2
2024-03,1,1
2024-04,1,1
2024-05,1,1
