Search Term,taylor swift
Geography,US
Time Period,12M
Type,Web Search
,
Time,Normalized Value (0-100)
2003-12-31,0
2004-01-31,0
2004-02-29,0
2004-03-31,0
2004-04-30,0
2004-05-31,0
2004-06-30,0
2004-07-31,0
2004-08-31,0
2004-09-30,0
2004-10-31,0
2004-11-30,0
2004-12-31,0
2005-01-31,0
2005-02-28,0
2005-03-31,0
2005-04-30,0
2005-05-31,0
2005-06-30,0
2005-07-31,0
2005-08-31,0
2005-09-30,0
2005-10-31,0
2005-11-30,0
2005-12-31,0
2006-01-31,0
2006-02-28,0
2006-03-31,0
2006-04-30,0
2006-05-31,0
2006-06-30,1
2006-07-31,1
2006-08-31,2
2006-09-30,3
2006-10-31,3
2006-11-30,3
2006-12-31,3
2007-01-31,4
2007-02-28,3
2007-03-31,4
2007-04-30,5
2007-05-31,4
2007-06-30,4
2007-07-31,4
2007-08-31,3
2007-09-30,4
2007-10-31,7
2007-11-30,8
2007-12-31,7
2008-01-31,7
2008-02-29,7
2008-03-31,7
2008-04-30,8
2008-05-31,7
2008-06-30,6
2008-07-31,7
2008-08-31,12
2008-09-30,11
2008-10-31,28
2008-11-30,19
2008-12-31,17
2009-01-31,19
2009-02-28,16
2009-03-31,15
2009-04-30,16
2009-05-31,17
2009-06-30,15
2009-07-31,16
2009-08-31,52
2009-09-30,23
2009-10-31,36
2009-11-30,26
2009-12-31,21
2010-01-31,23
2010-02-28,15
2010-03-31,14
2010-04-30,14
2010-05-31,11
2010-06-30,9
2010-07-31,16
2010-08-31,18
2010-09-30,30
2010-10-31,33
2010-11-30,26
2010-12-31,23
2011-01-31,18
2011-02-28,13
2011-03-31,14
2011-04-30,15
2011-05-31,16
2011-06-30,14
2011-07-31,18
2011-08-31,13
2011-09-30,15
2011-10-31,22
2011-11-30,18
2011-12-31,14
2012-01-31,19
2012-02-29,16
2012-03-31,15
2012-04-30,12
2012-05-31,11
2012-06-30,10
2012-07-31,20
2012-08-31,23
2012-09-30,37
2012-10-31,32
2012-11-30,36
2012-12-31,31
2013-01-31,27
2013-02-28,24
2013-03-31,18
2013-04-30,20
2013-05-31,18
2013-06-30,18
2013-07-31,21
2013-08-31,13
2013-09-30,10
2013-10-31,15
2013-11-30,12
2013-12-31,16
2014-01-31,11
2014-02-28,9
2014-03-31,9
2014-04-30,8
2014-05-31,8
2014-06-30,8
2014-07-31,23
2014-08-31,16
2014-09-30,25
2014-10-31,45
2014-11-30,36
2014-12-31,31
2015-01-31,29
2015-02-28,21
2015-03-31,20
2015-04-30,28
2015-05-31,25
2015-06-30,28
2015-07-31,25
2015-08-31,23
2015-09-30,21
2015-10-31,16
2015-11-30,18
2015-12-31,14
2016-01-31,23
2016-02-29,13
2016-03-31,15
2016-04-30,12
2016-05-31,21
2016-06-30,29
2016-07-31,12
2016-08-31,11
2016-09-30,10
2016-10-31,12
2016-11-30,10
2016-12-31,9
2017-01-31,9
2017-02-28,7
2017-03-31,6
2017-04-30,8
2017-05-31,8
2017-06-30,6
2017-07-31,33
2017-08-31,16
2017-09-30,12
2017-10-31,24
2017-11-30,16
2017-12-31,10
2018-01-31,7
2018-02-28,8
2018-03-31,8
2018-04-30,13
2018-05-31,9
2018-06-30,13
2018-07-31,10
2018-08-31,8
2018-09-30,10
2018-10-31,6
2018-11-30,6
2018-12-31,9
2019-01-31,6
2019-02-28,6
2019-03-31,12
2019-04-30,10
2019-05-31,11
2019-06-30,11
2019-07-31,19
2019-08-31,11
2019-09-30,10
2019-10-31,13
2019-11-30,10
2019-12-31,8
2020-01-31,13
2020-02-29,7
2020-03-31,6
2020-04-30,7
2020-05-31,4
2020-06-30,15
2020-07-31,10
2020-08-31,8
2020-09-30,6
2020-10-31,7
2020-11-30,14
2020-12-31,7
2021-01-31,9
2021-02-28,10
2021-03-31,10
2021-04-30,7
2021-05-31,7
2021-06-30,7
2021-07-31,7
2021-08-31,7
2021-09-30,7
2021-10-31,29
2021-11-30,11
2021-12-31,9
2022-01-31,9
2022-02-28,8
2022-03-31,9
2022-04-30,11
2022-05-31,8
2022-06-30,8
2022-07-31,11
2022-08-31,11
2022-09-30,26
2022-10-31,49
2022-11-30,17
2022-12-31,15
2023-01-31,17
2023-02-28,30
2023-03-31,42
2023-04-30,56
2023-05-31,44
2023-06-30,51
2023-07-31,53
2023-08-31,65
2023-09-30,80
2023-10-31,64
2023-11-30,61
2023-12-31,65
2024-01-31,100
2024-02-29,43
2024-03-31,59
2024-04-30,40
